seed,row_index,row_kind,grid_index,parameter,parameter_label,objective,cell,checkpoint_batch_zero_based,parameter_value,loss,psth_sse,cv_squared_error,analytic_gradient,firing_rate_hz,spike_count,sim_cv,cv_valid
123,31,grid,3,output_ad,Output adaptation,PSTH SSE,1,6,0.0010000000474974513,40292.0,40292.0,0.007208317518234253,-3604315.25,147.10915741082513,4384.0,1.4132800102233887,True
123,31,grid,3,output_ad,Output adaptation,PSTH SSE,2,3,0.0010000000474974513,2477.0,2477.0,0.3176913261413574,-397951.6875,38.253749874165294,1140.0,0.636667788028717,True
123,31,grid,3,output_ad,Output adaptation,PSTH SSE,7,3,0.0010000000474974513,4298.0,4298.0,0.01931283064186573,-223515.625,32.34790778832925,964.0,1.5618541240692139,True
123,32,grid,4,output_ad,Output adaptation,PSTH SSE,1,6,0.0020000000949949026,12287.0,12287.0,0.005067693535238504,-1070158.5,91.7418878561122,2734.0,1.257190465927124,True
123,32,grid,4,output_ad,Output adaptation,PSTH SSE,2,3,0.0020000000949949026,1480.0,1480.0,0.3467825949192047,-125646.7734375,25.200496627629942,751.0,0.6114264130592346,True
123,32,grid,4,output_ad,Output adaptation,PSTH SSE,7,3,0.0020000000949949026,2976.0,2976.0,0.07943470776081085,-71123.9609375,23.08647360826818,688.0,1.4189831018447876,True
123,33,grid,5,output_ad,Output adaptation,PSTH SSE,1,6,0.0035000001080334187,5919.0,5919.0,0.049714986234903336,-268864.625,60.53488137981947,1804.0,1.1054096221923828,True
123,33,grid,5,output_ad,Output adaptation,PSTH SSE,2,3,0.0035000001080334187,1362.0,1362.0,0.35930564999580383,-21064.970703125,18.55642428106439,553.0,0.6008878350257874,True
123,33,grid,5,output_ad,Output adaptation,PSTH SSE,7,3,0.0035000001080334187,2928.0,2928.0,0.2103767693042755,-19592.587890625,17.314855206201134,516.0,1.2421562671661377,True
123,34,grid,6,output_ad,Output adaptation,PSTH SSE,1,6,0.004999999888241291,4699.0,4699.0,0.10705433785915375,-35823.21875,46.30717090030536,1380.0,1.0011866092681885,True
