seed,init_id,cell,epsilon,center_gain,gain_minus,gain_plus,actual_log_span,loss_minus,loss_center,loss_plus,fd_gradient_gain,fd_gradient_log_gain,analytic_gradient_gain,analytic_gradient_log_gain,loss_difference_exact_zero,center_firing_rate_hz
123,4,7,0.1,0.0098292483016848,0.008893871679902,0.0108629995957016,0.20000001796434533,4397.0,4783.0,4962.0,286929.048878255,2824.999746253645,13677.62890625,134.4408106978335,False,26.341397939666454
123,5,1,0.0025,0.0129776550456881,0.0129452515393495,0.0130101405084133,0.00500004809268813,7536.0,7581.0,7548.0,184931.27835336103,2399.9769157317346,1470951.125,19089.49628931692,False,91.4063286466897
123,5,1,0.005,0.0129776550456881,0.0129129281267523,0.0130427060648798,0.010000065393470458,7510.0,7581.0,7584.0,570204.77492329,7399.951609148306,1470951.125,19089.49628931692,False,91.4063286466897
123,5,1,0.01,0.0129776550456881,0.0128485253080725,0.0131080830469727,0.020000023673137704,7418.0,7581.0,7611.0,743572.5122964196,9649.988577724578,1470951.125,19089.49628931692,False,91.4063286466897
123,5,1,0.02,0.0129776550456881,0.0127206807956099,0.0132398204877972,0.039999913946285055,7283.0,7581.0,7767.0,932311.6827394872,12100.026031304773,1470951.125,19089.49628931692,False,91.4063286466897
123,5,1,0.05,0.0129776550456881,0.0123447272926568,0.0136430338025093,0.1000000151791958,7271.0,7581.0,7894.0,479855.8701448543,6229.9990543362455,1470951.125,19089.49628931692,False,91.4063286466897
123,5,1,0.1,0.0129776550456881,0.0117426682263612,0.0143425278365612,0.2000000332384816,7014.0,7581.0,8224.0,465409.74568504427,6049.998994536099,1470951.125,19089.49628931692,False,91.4063286466897
123,5,2,0.0025,0.0048190923407673,0.0048070596531033,0.004831155296415,0.005000032399732023,6526.0,6588.0,6601.0,3112595.8759350833,14999.902801433771,1220397.625,5881.208847328206,False,61.10533203583772
123,5,2,0.005,0.0048190923407673,0.0047950567677617,0.0048432480543851,0.010000034053454466,6435.0,6588.0,6637.0,4191629.1129259123,20199.931212256226,1220397.625,5881.208847328206,False,61.10533203583772
123,5,2,0.01,0.0048190923407673,0.0047711418010294,0.0048675253055989,0.02000000960057399,6392.0,6588.0,6606.0,2220296.9372802894,10699.994863695381,1220397.625,5881.208847328206,False,61.10533203583772
123,5,2,0.02,0.0048190923407673,0.0047236680984497,0.0049164444208145,0.03999995326687478,6383.0,6588.0,6578.0,1011535.014300106,4875.005695606291,1220397.625,5881.208847328206,False,61.10533203583772
123,5,2,0.05,0.0048190923407673,0.0045840623788535,0.0050661722198128,0.09999995895505587,6140.0,6588.0,6663.0,1084815.0267153576,5230.002146651459,1220397.625,5881.208847328206,False,61.10533203583772
123,5,2,0.1,0.0048190923407673,0.0043604951351881,0.0053259208798408,0.20000001779561782,5813.0,6588.0,7054.0,1285443.2429150054,6204.999447891006,1220397.625,5881.208847328206,False,61.10533203583772
123,5,7,0.0025,0.0127071822062134,0.0126754539087414,0.0127389905974268,0.0050000558572888855,73431.0,73639.0,73734.0,4768898.195187606,60599.32301722159,15489783.0,196831.494915708,False,170.83319351699606
123,5,7,0.005,0.0127071822062134,0.0126438047736883,0.0127708772197365,0.010000007477405712,73318.0,73639.0,74049.0,5752623.977370587,73099.94534020511,15489783.0,196831.494915708,False,170.83319351699606
123,5,7,0.01,0.0127071822062134,0.0125807439908385,0.0128348916769027,0.019999984332996667,73319.0,73639.0,74323.0,3950458.945931071,50200.039324209174,15489783.0,196831.494915708,False,170.83319351699606
123,5,7,0.02,0.0127071822062134,0.0124555630609393,0.0129638845100998,0.04000002141653275,72399.0,73639.0,75120.0,5352912.029373878,68024.96357852849,15489783.0,196831.494915708,False,170.83319351699606
123,5,7,0.05,0.0127071822062134,0.012087445706129,0.0133586935698986,0.10000000761050992,70825.0,73639.0,76507.0,4469624.030007258,56819.99567570859,15489783.0,196831.494915708,False,170.83319351699606
123,5,7,0.1,0.0127071822062134,0.0114979343488812,0.0140436086803674,0.19999999668883867,68358.0,73639.0,80173.0,4641206.400153407,59075.000978034295,15489783.0,196831.494915708,False,170.83319351699606
123,6,1,0.0025,0.0181871354579925,0.0181417241692543,0.0182326603680849,0.005000023474726766,8274.0,8393.0,8428.0,1693495.021568652,30799.85539636203,20706080.0,376584.28176403046,False,84.96359182577766
123,6,1,0.005,0.0181871354579925,0.0180964265018701,0.0182782988995313,0.010000015739486477,8212.0,8393.0,8316.0,571829.4878024128,10399.983630959829,20706080.0,376584.28176403046,False,84.96359182577766
123,6,1,0.01,0.0181871354579925,0.018006170168519,0.0183699186891317,0.01999998663351856,8551.0,8393.0,8393.0,-434366.0277541864,-7900.005279763697,20706080.0,376584.28176403046,False,84.96359182577766
123,6,1,0.02,0.0181871354579925,0.0178270060569047,0.0185545403510332,0.04000002023299011,8246.0,8393.0,8445.0,273526.6249385235,4974.997483523128,20706080.0,376584.28176403046,False,84.96359182577766
123,6,1,0.05,0.0181871354579925,0.0173001382499933,0.0191196091473102,0.09999997252713111,8219.0,8393.0,8339.0,65953.23958023128,1200.0003296745172,20706080.0,376584.28176403046,False,84.96359182577766
123,6,1,0.1,0.0181871354579925,0.0164564009755849,0.0200998932123184,0.19999998364913185,7677.0,8393.0,8550.0,239605.28615882847,4365.000356857727,20706080.0,376584.28176403046,False,84.96359182577766
123,6,2,0.0025,0.0160542204976081,0.0160141345113515,0.0160944070667028,0.005000085251227384,20182.0,20045.0,20103.0,-984147.0681264193,-15799.73061071462,70188472.0,1126821.205878198,False,101.40599308748028
123,6,2,0.005,0.0160542204976081,0.015974149107933,0.0161346923559904,0.010000023582430665,20116.0,20045.0,20138.0,137034.7259458348,2199.9948118774887,70188472.0,1126821.205878198,False,101.40599308748028
123,6,2,0.01,0.0160542204976081,0.0158944781869649,0.01621556840837,0.020000028552953998,20120.0,20045.0,20002.0,-367497.9558194822,-5899.991576890596,70188472.0,1126821.205878198,False,101.40599308748028
123,6,2,0.02,0.0160542204976081,0.0157363265752792,0.0163785368204116,0.039999912974586625,20079.0,20045.0,20135.0,87198.85804446341,1400.0030458960948,70188472.0,1126821.205878198,False,101.40599308748028
123,6,2,0.05,0.0160542204976081,0.0152712473645806,0.0168773382902145,0.09999998934314445,19767.0,20045.0,20230.0,288277.57669900334,4630.0004934124645,70188472.0,1126821.205878198,False,101.40599308748028
123,6,2,0.1,0.0160542204976081,0.0145264593884348,0.017742658033967,0.200000026525397,19362.0,20045.0,20602.0,385548.32479721133,6199.999177712802,70188472.0,1126821.205878198,False,101.40599308748028
123,6,7,0.0025,0.0183411631733179,0.0182953663170337,0.0183870736509561,0.00500007769740685,30443.0,30498.0,30456.0,141755.29310447737,2599.959597976265,8459386.0,155154.9789720811,False,111.07009831884837
123,6,7,0.005,0.0183411631733179,0.018249686807394,0.0184330977499485,0.00999992084382624,30440.0,30498.0,30437.0,-16356.712190760007,-300.00237470401004,8459386.0,155154.9789720811,False,111.07009831884837
123,6,7,0.01,0.0183411631733179,0.0181586649268865,0.0185254942625761,0.019999998438348945,30231.0,30498.0,30754.0,1425731.1210315705,26150.002041858912,8459386.0,155154.9789720811,False,111.07009831884837
123,6,7,0.02,0.0183411631733179,0.0179779846221208,0.0187116786837577,0.039999924688176,30163.0,30498.0,31014.0,1159883.995927934,21275.040056551807,8459386.0,155154.9789720811,False,111.07009831884837
123,6,7,0.05,0.0183411631733179,0.0174466539174318,0.0192815344780683,0.09999999744792638,29567.0,30498.0,31246.0,915045.9359695726,16790.00042849317,8459386.0,155154.9789720811,False,111.07009831884837
123,6,7,0.1,0.0183411631733179,0.016595771536231,0.0202701203525066,0.19999996173471335,28471.0,30498.0,32210.0,1017595.2765937807,18695.003576848354,8459386.0,155154.9789720811,False,111.07009831884837
